"uid","namedLocation","domainID","siteID","plotID","setDate","collectDate","sortDate","sampleID","sampleCode","subsampleID","subsampleCode","totalWeight","subsampleWeight","bycatchWeight","sampleCondition","remarks","sortedBy","laboratoryName"
"79bd7d3a-6458-4440-890f-11c650a2449c","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2017-05-03T20:51Z","2017-05-04T11:17Z","2017-06-09","HARV_074.20170504.0717",NA,"HARV_074.20170504.0717.S.01",NA,0.002,0.002,0.002,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"437262f9-a7e0-4972-996c-7fcbd6d94dbc","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","2017-05-03T21:56Z","2017-05-04T12:20Z","2017-06-09","HARV_079.20170504.0820",NA,"HARV_079.20170504.0820.S.01",NA,0.002,0.002,0,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"9dabea88-ed66-4bf6-8bf9-f8a598686978","HARV_082.mosquitoPoint.mos","D01","HARV","HARV_082","2017-05-16T21:20Z","2017-05-17T10:23Z","2017-06-19","HARV_082.20170517.0623",NA,"HARV_082.20170517.0623.S.01",NA,0.945,0.5,0.39,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"e312c3ad-79dd-414d-8dc3-20befde68a6b","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2017-05-16T21:52Z","2017-05-17T10:41Z","2017-06-19","HARV_074.20170517.0641",NA,"HARV_074.20170517.0641.S.01",NA,2.11,0.5,0.494,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"3c6a8f17-2ed7-4c5f-abf3-85d313330579","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2017-05-16T22:03Z","2017-05-17T10:54Z","2017-06-19","HARV_077.20170517.0654",NA,"HARV_077.20170517.0654.S.01",NA,0.158,0.158,0.115,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"99adacf6-b23a-4753-841c-56a6246b45bc","HARV_078.mosquitoPoint.mos","D01","HARV","HARV_078","2017-05-16T22:19Z","2017-05-17T11:03Z","2017-06-19","HARV_078.20170517.0703",NA,"HARV_078.20170517.0703.S.01",NA,1.2,0.5,0.489,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"04e6ecb7-0490-4add-bc80-00ef77cb0436","HARV_080.mosquitoPoint.mos","D01","HARV","HARV_080","2017-05-16T22:31Z","2017-05-17T11:16Z","2017-06-19","HARV_080.20170517.0716",NA,"HARV_080.20170517.0716.S.01",NA,1.19,0.5,0.478,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"bab3c3ea-6eb3-4216-9a26-c754aa9ef158","HARV_076.mosquitoPoint.mos","D01","HARV","HARV_076","2017-05-16T22:41Z","2017-05-17T11:24Z","2017-06-19","HARV_076.20170517.0724",NA,"HARV_076.20170517.0724.S.01",NA,0.14,0.14,0.125,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"1421b4de-2e6e-49e5-b2e1-aa7d3793bb44","HARV_081.mosquitoPoint.mos","D01","HARV","HARV_081","2017-05-16T22:51Z","2017-05-17T11:34Z","2017-06-19","HARV_081.20170517.0734",NA,"HARV_081.20170517.0734.S.01",NA,1.45,0.5,0.05,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"0f557e1d-db69-4dc3-88c0-3c8f2c9dc198","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","2017-05-16T23:04Z","2017-05-17T11:47Z","2017-06-19","HARV_079.20170517.0747",NA,"HARV_079.20170517.0747.S.01",NA,0.21,0.21,0.08,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"70e0dbff-3ea8-4460-a142-0051d17d9247","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2017-05-16T23:12Z","2017-05-17T11:54Z","2017-06-19","HARV_075.20170517.0754",NA,"HARV_075.20170517.0754.S.01",NA,0.21,0.21,0.135,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"1558144e-a32b-4e77-b459-6486c9dcce52","HARV_073.mosquitoPoint.mos","D01","HARV","HARV_073","2017-05-16T23:35Z","2017-05-17T12:21Z","2017-06-19","HARV_073.20170517.0821",NA,"HARV_073.20170517.0821.S.01",NA,0.09,0.09,0.068,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"752cef7d-d964-4c5f-b333-2d8509542d92","HARV_082.mosquitoPoint.mos","D01","HARV","HARV_082","2017-05-17T10:24Z","2017-05-17T20:55Z","2017-06-11","HARV_082.20170517.1655",NA,"HARV_082.20170517.1655.S.01",NA,0.88,0.5,0.36,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"28c3d7d0-ab33-4526-ad77-ef4e734e4e6a","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2017-05-17T10:43Z","2017-05-17T21:19Z","2017-06-11","HARV_074.20170517.1719",NA,"HARV_074.20170517.1719.S.01",NA,0.96,0.5,0.482,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"c00116c8-c58e-424f-9908-e9ebcf6281f8","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2017-05-17T10:55Z","2017-05-17T21:30Z","2017-06-11","HARV_077.20170517.1730",NA,"HARV_077.20170517.1730.S.01",NA,0.21,0.21,0.13,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"6ac902bd-bced-4ae9-b8c6-4aa516385a9b","HARV_078.mosquitoPoint.mos","D01","HARV","HARV_078","2017-05-17T11:04Z","2017-05-17T21:42Z","2017-06-19","HARV_078.20170517.1742",NA,"HARV_078.20170517.1742.S.01",NA,0.83,0.5,0.492,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"579c8dd5-5193-4998-a809-db67c9cc354b","HARV_080.mosquitoPoint.mos","D01","HARV","HARV_080","2017-05-17T11:18Z","2017-05-17T21:52Z","2017-06-19","HARV_080.20170517.1752",NA,"HARV_080.20170517.1752.S.01",NA,0.88,0.5,0.491,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"7757dd3e-aa3c-44b7-8437-8c027d862c39","HARV_076.mosquitoPoint.mos","D01","HARV","HARV_076","2017-05-17T11:24Z","2017-05-17T22:01Z","2017-06-19","HARV_076.20170517.1801",NA,"HARV_076.20170517.1801.S.01",NA,0.002,0.002,0,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"b65bb375-6b59-49c1-aead-c5482d155f4f","HARV_081.mosquitoPoint.mos","D01","HARV","HARV_081","2017-05-17T11:34Z","2017-05-17T22:10Z","2017-06-19","HARV_081.20170517.1810",NA,"HARV_081.20170517.1810.S.01",NA,0.26,0.26,0.16,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"cca16470-8318-4c7b-a707-93f034a6dd0a","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","2017-05-17T11:48Z","2017-05-17T22:24Z","2017-06-11","HARV_079.20170517.1824",NA,"HARV_079.20170517.1824.S.01",NA,0.4,0.4,0.305,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"4e8a675d-249a-4e2d-aabe-0cc96c303a35","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2017-05-17T11:55Z","2017-05-17T22:34Z","2017-06-19","HARV_075.20170517.1834",NA,"HARV_075.20170517.1834.S.01",NA,0.92,0.5,0.489,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"95b82b0a-7fca-4ef1-bb58-e46be3b3555a","HARV_073.mosquitoPoint.mos","D01","HARV","HARV_073","2017-05-17T12:22Z","2017-05-17T22:59Z","2017-06-19","HARV_073.20170517.1859",NA,"HARV_073.20170517.1859.S.01",NA,0.11,0.11,0.102,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"b1599acc-9523-451b-af57-7c0202b8169a","HARV_082.mosquitoPoint.mos","D01","HARV","HARV_082","2017-05-17T20:56Z","2017-05-18T12:18Z","2017-06-10","HARV_082.20170518.0818",NA,"HARV_082.20170518.0818.S.01",NA,1.69,0.5,0.23,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"e3740152-0cbd-4be5-9990-05fb6f0d72a2","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2017-05-17T21:20Z","2017-05-18T11:54Z","2017-06-10","HARV_074.20170518.0754",NA,"HARV_074.20170518.0754.S.01",NA,1.18,0.5,0.43,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"424dea76-c81c-4363-b029-d933514a6bf7","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2017-05-17T21:31Z","2017-05-18T11:44Z","2017-06-10","HARV_077.20170518.0744",NA,"HARV_077.20170518.0744.S.01",NA,0.285,0.285,0.17,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"0f2d7446-24c0-4cd0-b8d1-7ae59338b2a4","HARV_078.mosquitoPoint.mos","D01","HARV","HARV_078","2017-05-17T21:43Z","2017-05-18T11:35Z","2017-06-10","HARV_078.20170518.0735",NA,"HARV_078.20170518.0735.S.01",NA,0.025,0.025,0.005,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"ef35c0e2-8b37-44ad-a0eb-05bccff06a48","HARV_080.mosquitoPoint.mos","D01","HARV","HARV_080","2017-05-17T21:52Z","2017-05-18T11:24Z","2017-06-10","HARV_080.20170518.0724",NA,"HARV_080.20170518.0724.S.01",NA,0.81,0.5,0.045,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"5c4f2a01-fef9-4dd1-b624-f8f19543dfd5","HARV_076.mosquitoPoint.mos","D01","HARV","HARV_076","2017-05-17T22:01Z","2017-05-18T11:02Z","2017-06-10","HARV_076.20170518.0702",NA,"HARV_076.20170518.0702.S.01",NA,0.065,0.065,0.057,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"8d2a5604-4af6-4884-ad5a-99cfaead3126","HARV_081.mosquitoPoint.mos","D01","HARV","HARV_081","2017-05-17T22:11Z","2017-05-18T11:09Z","2017-06-10","HARV_081.20170518.0709",NA,"HARV_081.20170518.0709.S.01",NA,0.83,0.5,0.265,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"2ac6b0c2-cf80-4b1c-b602-136a108fb74a","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","2017-05-17T22:25Z","2017-05-18T10:54Z","2017-06-10","HARV_079.20170518.0654",NA,"HARV_079.20170518.0654.S.01",NA,0.255,0.255,0.095,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"0a9cfd50-8c9a-4f66-8852-a9ea607db188","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2017-05-17T22:35Z","2017-05-18T10:47Z","2017-06-10","HARV_075.20170518.0647",NA,"HARV_075.20170518.0647.S.01",NA,0.335,0.335,0.195,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"35d0aed5-8890-4d57-9fa8-34d2e2c628cd","HARV_073.mosquitoPoint.mos","D01","HARV","HARV_073","2017-05-17T23:00Z","2017-05-18T10:23Z","2017-06-10","HARV_073.20170518.0623",NA,"HARV_073.20170518.0623.S.01",NA,0.095,0.095,0.055,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"d62a2f2a-11cb-436d-be86-265e2783d0f2","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2017-05-30T21:28Z","2017-05-31T10:22Z","2017-06-20","HARV_075.20170531.0622",NA,"HARV_075.20170531.0622.S.01",NA,0.198,0.198,0.005,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"3f89b441-cc84-4f45-828a-d9765f06a23f","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","2017-05-30T21:33Z","2017-05-31T10:29Z","2017-06-19","HARV_079.20170531.0629",NA,"HARV_079.20170531.0629.S.01",NA,0.528,0.528,0.002,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"8a65810e-7d3e-4994-8cc2-9102dcae0c5f","HARV_076.mosquitoPoint.mos","D01","HARV","HARV_076","2017-05-30T21:42Z","2017-05-31T10:52Z","2017-06-20","HARV_076.20170531.0652",NA,"HARV_076.20170531.0652.S.01",NA,0.15,0.15,0,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"d7c1779a-cd59-4414-ac1c-bbcc715a2221","HARV_081.mosquitoPoint.mos","D01","HARV","HARV_081","2017-05-30T21:49Z","2017-05-31T10:42Z","2017-06-20","HARV_081.20170531.0642",NA,"HARV_081.20170531.0642.S.01",NA,0.21,0.21,0,"No known compromise","ice in sample","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"77abb324-7a4c-4bc5-b822-24265a573d2e","HARV_080.mosquitoPoint.mos","D01","HARV","HARV_080","2017-05-30T22:04Z","2017-05-31T11:01Z","2017-06-19","HARV_080.20170531.0701",NA,"HARV_080.20170531.0701.S.01",NA,0.26,0.26,0,"No known compromise","ice in sample","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"ecbad205-d8f6-47b8-a87b-d21488d0b217","HARV_078.mosquitoPoint.mos","D01","HARV","HARV_078","2017-05-30T22:19Z","2017-05-31T11:12Z","2017-06-20","HARV_078.20170531.0712",NA,"HARV_078.20170531.0712.S.01",NA,0.202,0.202,0.002,"No known compromise","ice in sample","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"1cc50202-76ac-4aba-886b-253dae49910c","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2017-05-30T22:35Z","2017-05-31T11:25Z","2017-06-20","HARV_074.20170531.0725",NA,"HARV_074.20170531.0725.S.01",NA,0.114,0.114,0,"No known compromise","ice in sample","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"b535f067-029b-43a2-acae-652a48e58202","HARV_082.mosquitoPoint.mos","D01","HARV","HARV_082","2017-05-30T22:59Z","2017-05-31T11:47Z","2017-06-20","HARV_082.20170531.0747",NA,"HARV_082.20170531.0747.S.01",NA,0.145,0.145,0.003,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"b2c0520a-8839-4cb2-a85f-b1a10774ef67","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2017-05-30T23:29Z","2017-05-31T12:10Z","2017-06-19","HARV_077.20170531.0810",NA,"HARV_077.20170531.0810.S.01",NA,0.148,0.148,0,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"34ed2beb-c826-4c5f-9abf-8b545b878daa","HARV_073.mosquitoPoint.mos","D01","HARV","HARV_073","2017-05-30T23:56Z","2017-05-31T09:54Z","2017-06-20","HARV_073.20170531.0554",NA,"HARV_073.20170531.0554.S.01",NA,0.38,0.38,0.002,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"a54c3192-feea-4106-8658-91aef5134254","HARV_073.mosquitoPoint.mos","D01","HARV","HARV_073","2017-05-31T09:48Z","2017-05-31T20:32Z","2017-06-22","HARV_073.20170531.1632",NA,"HARV_073.20170531.1632.S.01",NA,0.23,0.23,0.031,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"be9d615e-393c-48de-85b3-26a7a5015cd5","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2017-05-31T10:23Z","2017-05-31T22:50Z","2017-06-22","HARV_075.20170531.1850",NA,"HARV_075.20170531.1850.S.01",NA,0.17,0.17,0.04,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"f27b8a91-df5c-41f6-ae89-4a7228eed598","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","2017-05-31T10:30Z","2017-05-31T22:43Z","2017-06-22","HARV_079.20170531.1843",NA,"HARV_079.20170531.1843.S.01",NA,0.075,0.075,0.012,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"fe243c9f-be68-492b-981e-9370df761f82","HARV_081.mosquitoPoint.mos","D01","HARV","HARV_081","2017-05-31T10:46Z","2017-05-31T22:31Z","2017-06-22","HARV_081.20170531.1831",NA,"HARV_081.20170531.1831.S.01",NA,0.248,0.248,0.062,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"4bf73682-cb95-40ad-ae3a-ed536d442b32","HARV_076.mosquitoPoint.mos","D01","HARV","HARV_076","2017-05-31T10:53Z","2017-05-31T22:24Z","2017-06-22","HARV_076.20170531.1824",NA,"HARV_076.20170531.1824.S.01",NA,0.078,0.078,0.017,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"c078f4df-ff9f-43fb-ae82-46a96d3e49a6","HARV_080.mosquitoPoint.mos","D01","HARV","HARV_080","2017-05-31T11:05Z","2017-05-31T22:16Z","2017-06-22","HARV_080.20170531.1816",NA,"HARV_080.20170531.1816.S.01",NA,0.325,0.325,0.28,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"4e428fba-f360-4e97-a657-9bfc33550e25","HARV_078.mosquitoPoint.mos","D01","HARV","HARV_078","2017-05-31T11:15Z","2017-05-31T22:09Z","2017-06-22","HARV_078.20170531.1809",NA,"HARV_078.20170531.1809.S.01",NA,0.188,0.188,0.11,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"e76c6a55-c2d0-4b31-9671-f3ceb6682e38","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2017-05-31T11:24Z","2017-05-31T21:44Z","2017-06-22","HARV_074.20170531.1744",NA,"HARV_074.20170531.1744.S.01",NA,0.172,0.172,0.077,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"2be51559-e41c-4409-b5a1-668e630a87ae","HARV_082.mosquitoPoint.mos","D01","HARV","HARV_082","2017-05-31T11:47Z","2017-05-31T21:25Z","2017-06-22","HARV_082.20170531.1725",NA,"HARV_082.20170531.1725.S.01",NA,0.109,0.109,0.07,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"755b7e19-1bc2-4dc5-89d2-2e0b9e501662","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2017-05-31T12:10Z","2017-05-31T21:56Z","2017-06-22","HARV_077.20170531.1756",NA,"HARV_077.20170531.1756.S.01",NA,0.152,0.152,0.06,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"d37bd54d-f1eb-47d1-9ebb-70c572607769","HARV_082.mosquitoPoint.mos","D01","HARV","HARV_082","2017-05-31T21:27Z","2017-06-01T11:55Z","2017-06-20","HARV_082.20170601.0755",NA,"HARV_082.20170601.0755.S.01",NA,0.47,0.47,0.26,"No known compromise",NA,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"c7c5a2b9-cb75-47e8-9a39-aeac9b555ee2","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2017-05-31T21:47Z","2017-06-01T11:35Z","2017-06-20","HARV_074.20170601.0735",NA,"HARV_074.20170601.0735.S.01",NA,0.23,0.23,0.028,"No known compromise",NA,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"38675278-273c-4243-802b-90120eef9b24","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2017-05-31T22:00Z","2017-06-01T12:13Z","2017-06-20","HARV_077.20170601.0813",NA,"HARV_077.20170601.0813.S.01",NA,0.105,0.105,0.04,"No known compromise",NA,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"b0702696-14cc-45e5-8447-55cf102894dc","HARV_078.mosquitoPoint.mos","D01","HARV","HARV_078","2017-05-31T22:10Z","2017-06-01T11:21Z","2017-06-20","HARV_078.20170601.0721",NA,"HARV_078.20170601.0721.S.01",NA,0.215,0.215,0.03,"No known compromise",NA,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"5e0777be-2863-4ab0-9994-d919a0181076","HARV_080.mosquitoPoint.mos","D01","HARV","HARV_080","2017-05-31T22:19Z","2017-06-01T11:09Z","2017-06-20","HARV_080.20170601.0709",NA,"HARV_080.20170601.0709.S.01",NA,0.108,0.108,0.062,"No known compromise",NA,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"d7fc0810-fef6-4825-85a3-7ea0c1d46442","HARV_076.mosquitoPoint.mos","D01","HARV","HARV_076","2017-05-31T22:27Z","2017-06-01T10:45Z","2017-06-20","HARV_076.20170601.0645",NA,"HARV_076.20170601.0645.S.01",NA,0.185,0.185,0.006,"No known compromise",NA,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
