"uid","namedLocation","domainID","siteID","plotID","setDate","collectDate","processingDate","individualID","geneticSampleID","wellCoordinates","laboratoryName"
"00c44153-86a3-4e65-a7d6-fa172f06641d","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2018-08-08T20:55Z","2018-08-09T12:24Z",NA,"MOS.D01.001337","MOS.D01.001337","D2","Kansas Biological Survey"
"478e8a11-0560-4570-a805-48d3821fef7f","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2018-08-08T21:10Z","2018-08-09T12:38Z",NA,"MOS.D01.001330","MOS.D01.001330","C8","Kansas Biological Survey"
"9a2a1c1d-d1f5-4e26-9c8d-35af0db364c5","HARV_078.mosquitoPoint.mos","D01","HARV","HARV_078","2018-08-08T21:27Z","2018-08-09T12:53Z",NA,"MOS.D01.001213","MOS.D01.001213","B1","Kansas Biological Survey"
"74f37145-f4b6-47b9-9764-920bff1a6437","HARV_080.mosquitoPoint.mos","D01","HARV","HARV_080","2018-08-08T21:40Z","2018-08-09T13:10Z",NA,"MOS.D01.001304","MOS.D01.001304","A7","Kansas Biological Survey"
"8ca7bc8e-dcd5-4cac-ac66-b6ee92cc8b12","HARV_076.mosquitoPoint.mos","D01","HARV","HARV_076","2018-08-08T21:52Z","2018-08-09T13:21Z",NA,"MOS.D01.001329","MOS.D01.001329","C7","Kansas Biological Survey"
"87234d69-f864-4417-8632-d0e2b2e4f812","HARV_076.mosquitoPoint.mos","D01","HARV","HARV_076","2018-08-08T21:52Z","2018-08-09T13:21Z",NA,"MOS.D01.001393","MOS.D01.001393","H8","Kansas Biological Survey"
"f9f74d46-3f1c-4265-aa1f-5adee55200a0","HARV_076.mosquitoPoint.mos","D01","HARV","HARV_076","2018-08-08T21:52Z","2018-08-09T13:21Z",NA,"MOS.D01.001338","MOS.D01.001338","D3","Kansas Biological Survey"
"89fc3d78-e9b4-4500-aaf9-6d08961bbf8f","HARV_076.mosquitoPoint.mos","D01","HARV","HARV_076","2018-08-08T21:52Z","2018-08-09T13:21Z",NA,"MOS.D01.001349","MOS.D01.001349","E2","Kansas Biological Survey"
"900de549-2a1f-4518-a788-e7cddcfde71b","HARV_081.mosquitoPoint.mos","D01","HARV","HARV_081","2018-08-08T22:03Z","2018-08-09T13:32Z",NA,"MOS.D01.001350","MOS.D01.001350","E3","Kansas Biological Survey"
"c4718251-bc71-4dbd-8732-d90ca40f2983","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","2018-08-08T22:18Z","2018-08-09T13:49Z",NA,"MOS.D01.001214","MOS.D01.001214","B2","Kansas Biological Survey"
"f769170a-7bd0-4fea-99a9-7ae8471ad8cf","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","2018-08-08T22:18Z","2018-08-09T13:49Z",NA,"MOS.D01.001315","MOS.D01.001315","B6","Kansas Biological Survey"
"a290a05f-5da7-4e36-b977-d4ba23fc675d","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","2018-08-09T13:53Z","2018-08-09T22:20Z",NA,"MOS.D01.001316","MOS.D01.001316","B7","Kansas Biological Survey"
"817c73f4-f0ff-4470-beba-b824937aaaca","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2018-08-09T13:57Z","2018-08-09T22:25Z",NA,"MOS.D01.001372","MOS.D01.001372","G1","Kansas Biological Survey"
"5b477a5f-0ac6-45c0-92ba-b96b84e3d382","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2018-08-09T13:57Z","2018-08-09T22:25Z",NA,"MOS.D01.001303","MOS.D01.001303","A6","Kansas Biological Survey"
"991a02da-4dce-4330-8767-b7fb3e7acd3d","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2018-08-22T20:18Z","2018-08-23T11:37Z",NA,"MOS.D01.001215","MOS.D01.001215","B3","Kansas Biological Survey"
"1b707c3d-2b73-4201-95cc-9dd197bfe34f","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2018-08-22T20:18Z","2018-08-23T11:37Z",NA,"MOS.D01.001283","MOS.D01.001283","G10","Kansas Biological Survey"
"92fc1f2b-2ffa-42e4-a850-d50905285f63","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2018-08-22T20:18Z","2018-08-23T11:37Z",NA,"MOS.D01.001374","MOS.D01.001374","G3","Kansas Biological Survey"
"af992808-5b2a-4564-971f-91f3276905c3","HARV_082.mosquitoPoint.mos","D01","HARV","HARV_082","2018-08-22T20:39Z","2018-08-23T10:51Z",NA,"MOS.D01.001376","MOS.D01.001376","G5","Kansas Biological Survey"
"bc10f801-766c-479b-8345-4a1f1ea1ce09","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2018-08-22T21:00Z","2018-08-23T11:22Z",NA,"MOS.D01.001295","MOS.D01.001295","H10","Kansas Biological Survey"
"2fdf7e0a-606d-4597-8b96-cad5c1898696","HARV_078.mosquitoPoint.mos","D01","HARV","HARV_078","2018-08-22T21:13Z","2018-08-23T11:54Z",NA,"MOS.D01.001296","MOS.D01.001296","H11","Kansas Biological Survey"
"9e58e828-79f2-4418-9373-f33d21c19e78","HARV_078.mosquitoPoint.mos","D01","HARV","HARV_078","2018-08-22T21:13Z","2018-08-23T11:54Z",NA,"MOS.D01.001284","MOS.D01.001284","G11","Kansas Biological Survey"
"5214ee49-21b0-4469-a460-2aec841b5bf0","HARV_080.mosquitoPoint.mos","D01","HARV","HARV_080","2018-08-22T21:22Z","2018-08-23T12:04Z",NA,"MOS.D01.001307","MOS.D01.001307","A10","Kansas Biological Survey"
"76b99b20-7cfd-4c44-a619-20cdc7dc141d","HARV_081.mosquitoPoint.mos","D01","HARV","HARV_081","2018-08-22T21:40Z","2018-08-23T12:21Z",NA,"MOS.D01.001318","MOS.D01.001318","B8","Kansas Biological Survey"
"a530a771-c6be-481c-9d0d-54f402cf547b","HARV_081.mosquitoPoint.mos","D01","HARV","HARV_081","2018-08-22T21:40Z","2018-08-23T12:21Z",NA,"MOS.D01.001375","MOS.D01.001375","G4","Kansas Biological Survey"
