"domainID","siteID","horizontalPosition","verticalPosition","date","wssRHMean","wssRHMinimum","wssRHMaximum","wssRHVariance","wssRHStdErMean","wssRHNumPts","RHQF","wssDewTempMean","wssDewTempMinimum","wssDewTempMaximum","wssDewTempVariance","wssDewTempStdErMean","wssDewTempNumPts","dewTempQF"
"D01","HARV","000","060","2018-01-13",88.22,66.12,99.99,168.53,0.05,64793,1,3.214,-12.459,14.453,121.043,0.039,78904,1
"D01","HARV","000","060","2018-01-14",61.69,36.32,77.09,219.28,0.05,78868,1,-17.603,-21.992,-12.215,6.783,0.009,78868,1
"D01","HARV","000","060","2018-01-15",59.57,37.13,80.96,85.19,0.03,78996,1,-18.02,-19.858,-12.301,2.914,0.006,78996,1
"D01","HARV","000","060","2018-01-16",76.8,55.02,96.38,128.46,0.04,77479,1,-10.142,-15.939,-4.378,13.352,0.013,77479,1
"D01","HARV","000","060","2018-01-17",97.1,95.13,98.73,0.45,0,71788,1,-3.263,-4.383,-2.445,0.199,0.002,78843,1
"D01","HARV","000","060","2018-01-18",83.58,70.04,98,73.9,0.03,78743,1,-9.861,-13.303,-3.751,6.911,0.009,78743,1
"D01","HARV","000","060","2018-01-19",77.82,57.91,88.16,72.92,0.03,78767,1,-9.04,-10.309,-7.219,0.978,0.004,78767,1
"D01","HARV","000","060","2018-01-20",63.06,48.26,77.27,65.61,0.03,78591,1,-6.137,-8.533,-3.418,2.799,0.006,78591,1
"D01","HARV","000","060","2018-01-21",66.81,51.9,76.85,45.67,0.02,78812,1,-2.875,-3.433,-2.244,0.074,0.001,78812,1
"D01","HARV","000","060","2018-01-22",86.56,66.92,99.92,170.25,0.05,64005,1,-1.27,-2.631,0.707,1.115,0.004,78674,1
"D01","HARV","000","060","2018-01-23",96.93,61.85,101.99,33.81,0.02,58714,1,-0.541,-5.568,6.049,5.155,0.008,77978,1
"D01","HARV","000","060","2018-01-24",65.96,46.26,101.43,201.77,0.05,76596,1,-5.343,-11.809,2.027,15.233,0.014,76159,1
"D01","HARV","000","060","2018-01-25",50.45,24.41,72.49,214.83,0.05,79852,1,-17.027,-22.284,-11.33,8.141,0.01,75058,1
