"domainID","siteID","horizontalPosition","verticalPosition","date","wssPrecipTotal","precipQF"
"D01","HARV","900","000","2017-10-30",42.31,0
"D01","HARV","900","000","2017-10-31",1.83,1
"D01","HARV","900","000","2017-11-01",0.78,0
"D01","HARV","900","000","2017-11-02",0.98,0
"D01","HARV","900","000","2017-11-03",0.98,0
"D01","HARV","900","000","2017-11-04",1.36,1
"D01","HARV","900","000","2017-11-06",2.35,0
"D01","HARV","900","000","2017-11-07",1.81,1
"D01","HARV","900","000","2017-11-08",1.93,1
"D01","HARV","900","000","2017-11-09",1.87,1
"D01","HARV","900","000","2017-11-10",2.08,1
"D01","HARV","900","000","2017-11-11",2.21,1
"D01","HARV","900","000","2017-11-12",1.85,0
"D01","HARV","900","000","2017-11-13",1.12,0
"D01","HARV","900","000","2017-11-14",1.4,0
"D01","HARV","900","000","2017-11-15",1.56,1
"D01","HARV","900","000","2017-11-16",7.7,0
"D01","HARV","900","000","2017-11-17",2.39,1
"D01","HARV","900","000","2017-11-18",1.29,0
"D01","HARV","900","000","2017-11-19",8.05,0
"D01","HARV","900","000","2017-11-20",1.88,1
"D01","HARV","900","000","2017-11-21",1.39,1
"D01","HARV","900","000","2017-11-22",5.1,0
"D01","HARV","900","000","2017-11-23",0.91,1
"D01","HARV","900","000","2017-11-24",1.59,1
"D01","HARV","900","000","2017-11-25",2.17,1
"D01","HARV","900","000","2017-11-26",2.06,1
"D01","HARV","900","000","2017-11-27",1.19,1
"D01","HARV","900","000","2017-11-29",1.46,1
"D01","HARV","900","000","2017-12-01",3.95,0
"D01","HARV","900","000","2017-12-02",1.46,1
"D01","HARV","900","000","2017-12-03",2,0
"D01","HARV","900","000","2017-12-04",1.25,1
"D01","HARV","900","000","2017-12-05",2.38,0
"D01","HARV","900","000","2017-12-06",12.5,0
"D01","HARV","900","000","2017-12-07",1.51,1
"D01","HARV","900","000","2017-12-08",1.86,1
"D01","HARV","900","000","2017-12-09",3.25,1
"D01","HARV","900","000","2017-12-10",1.04,1
"D01","HARV","900","000","2017-12-11",1.13,1
"D01","HARV","900","000","2017-12-12",4.66,0
"D01","HARV","900","000","2017-12-13",2.26,1
"D01","HARV","900","000","2017-12-14",1.35,1
"D01","HARV","900","000","2017-12-15",1.85,0
"D01","HARV","900","000","2017-12-16",2.1,1
"D01","HARV","900","000","2017-12-17",1.5,1
"D01","HARV","900","000","2017-12-18",2.04,0
"D01","HARV","900","000","2017-12-19",2.4,1
"D01","HARV","900","000","2017-12-20",2.64,1
"D01","HARV","900","000","2017-12-21",1.08,1
"D01","HARV","900","000","2017-12-22",2.77,0
"D01","HARV","900","000","2017-12-23",8.26,0
"D01","HARV","900","000","2017-12-24",1.74,1
"D01","HARV","900","000","2017-12-25",9.45,1
"D01","HARV","900","000","2017-12-26",1.74,1
"D01","HARV","900","000","2017-12-27",1.81,1
"D01","HARV","900","000","2017-12-28",2.55,1
"D01","HARV","900","000","2017-12-29",1.8,0
"D01","HARV","900","000","2017-12-30",1.65,0
"D01","HARV","900","000","2017-12-31",1.98,0
"D01","HARV","900","000","2018-01-01",2.33,0
"D01","HARV","900","000","2018-01-02",1.64,0
"D01","HARV","900","000","2018-01-03",1.8,0
"D01","HARV","900","000","2018-01-04",16.76,0
"D01","HARV","900","000","2018-01-05",0.8,0
"D01","HARV","900","000","2018-01-06",2.14,0
"D01","HARV","900","000","2018-01-07",1.34,0
"D01","HARV","900","000","2018-01-08",0.75,0
"D01","HARV","900","000","2018-01-09",2.02,1
"D01","HARV","900","000","2018-01-10",1.88,0
"D01","HARV","900","000","2018-01-11",1.04,0
"D01","HARV","900","000","2018-01-12",27.3,0
"D01","HARV","900","000","2018-01-13",23,0
"D01","HARV","900","000","2018-01-14",1.16,0
"D01","HARV","900","000","2018-01-15",1.07,0
"D01","HARV","900","000","2018-01-17",2.22,0
"D01","HARV","900","000","2018-01-18",0.94,0
"D01","HARV","900","000","2018-01-19",1.43,0
"D01","HARV","900","000","2018-01-20",1.53,0
"D01","HARV","900","000","2018-01-21",0.67,0
"D01","HARV","900","000","2018-01-22",0.91,0
"D01","HARV","900","000","2018-01-23",11.52,0
"D01","HARV","900","000","2018-01-24",2.47,1
"D01","HARV","900","000","2018-01-25",1.19,0
"D01","HARV","900","000","2018-01-26",0.96,0
"D01","HARV","900","000","2018-01-27",0.97,0
"D01","HARV","900","000","2018-01-28",1.02,0
"D01","HARV","900","000","2018-01-29",1.43,0
"D01","HARV","900","000","2018-01-30",0.97,0
"D01","HARV","900","000","2018-01-31",1.15,0
"D01","HARV","900","000","2018-02-01",1.37,0
"D01","HARV","900","000","2018-02-02",5,0
"D01","HARV","900","000","2018-02-03",1.29,0
"D01","HARV","900","000","2018-02-04",0.9,0
"D01","HARV","900","000","2018-02-05",8.73,1
"D01","HARV","900","000","2018-02-06",1.25,0
"D01","HARV","900","000","2018-02-07",8.27,0
"D01","HARV","900","000","2018-02-08",1.73,1
"D01","HARV","900","000","2018-02-09",1.37,0
"D01","HARV","900","000","2018-02-10",0.87,0
"D01","HARV","900","000","2018-02-11",15.34,0
"D01","HARV","900","000","2018-02-12",0.92,0
"D01","HARV","900","000","2018-02-13",0.89,0
"D01","HARV","900","000","2018-02-14",1.25,0
"D01","HARV","900","000","2018-02-15",1.21,0
"D01","HARV","900","000","2018-02-16",0.47,0
"D01","HARV","900","000","2018-02-17",1.53,0
"D01","HARV","900","000","2018-02-18",5.57,0
"D01","HARV","900","000","2018-02-19",1.07,0
"D01","HARV","900","000","2018-02-20",2.06,0
"D01","HARV","900","000","2018-02-21",0.48,0
"D01","HARV","900","000","2018-02-22",1.41,0
"D01","HARV","900","000","2018-02-23",2.11,0
"D01","HARV","900","000","2018-02-24",0.93,0
"D01","HARV","900","000","2018-02-25",6.24,0
"D01","HARV","900","000","2018-02-27",1.04,0
"D01","HARV","900","000","2018-02-28",1.23,0
"D01","HARV","900","000","2018-03-01",1.45,0
"D01","HARV","900","000","2018-03-02",12.97,0
"D01","HARV","900","000","2018-03-03",1.08,0
"D01","HARV","900","000","2018-03-04",0.45,0
"D01","HARV","900","000","2018-03-05",1.61,1
"D01","HARV","900","000","2018-03-06",1.05,1
"D01","HARV","900","000","2018-03-07",3.49,0
"D01","HARV","900","000","2018-03-08",13.2,0
"D01","HARV","900","000","2018-03-09",1.18,0
"D01","HARV","900","000","2018-03-10",2.15,1
"D01","HARV","900","000","2018-03-11",1.38,1
"D01","HARV","900","000","2018-03-12",0.61,1
"D01","HARV","900","000","2018-03-13",9.95,0
"D01","HARV","900","000","2018-03-14",2.09,0
"D01","HARV","900","000","2018-03-15",1.02,1
"D01","HARV","900","000","2018-03-16",1.45,1
"D01","HARV","900","000","2018-03-17",1.6,1
"D01","HARV","900","000","2018-03-18",1.11,1
"D01","HARV","900","000","2018-03-19",0.81,0
"D01","HARV","900","000","2018-03-20",1.37,0
"D01","HARV","900","000","2018-03-21",1.03,0
"D01","HARV","900","000","2018-03-22",1.08,0
"D01","HARV","900","000","2018-03-23",1,0
"D01","HARV","900","000","2018-03-24",0.58,1
"D01","HARV","900","000","2018-03-25",1.08,1
"D01","HARV","900","000","2018-03-26",0.8,0
"D01","HARV","900","000","2018-03-27",0.51,0
"D01","HARV","900","000","2018-03-28",1.06,0
"D01","HARV","900","000","2018-03-29",0.43,1
"D01","HARV","900","000","2018-03-30",0.02,1
"D01","HARV","900","000","2018-03-31",0.88,0
"D01","HARV","900","000","2018-04-01",1.02,0
"D01","HARV","900","000","2018-04-02",2.85,1
"D01","HARV","900","000","2018-04-03",4.39,0
"D01","HARV","900","000","2018-04-04",6.64,0
"D01","HARV","900","000","2018-04-05",1.29,1
"D01","HARV","900","000","2018-04-06",2.44,1
"D01","HARV","900","000","2018-04-07",6.03,1
"D01","HARV","900","000","2018-04-08",1.49,1
"D01","HARV","900","000","2018-04-09",1.47,0
"D01","HARV","900","000","2018-04-10",1.12,0
"D01","HARV","900","000","2018-04-11",0.57,1
"D01","HARV","900","000","2018-04-12",2.39,0
"D01","HARV","900","000","2018-04-13",1.98,0
"D01","HARV","900","000","2018-04-14",1.99,0
"D01","HARV","900","000","2018-04-15",0.92,0
"D01","HARV","900","000","2018-04-16",32.22,0
"D01","HARV","900","000","2018-04-17",0.97,0
"D01","HARV","900","000","2018-04-18",0.73,0
"D01","HARV","900","000","2018-04-19",4.02,0
"D01","HARV","900","000","2018-04-20",0.52,0
"D01","HARV","900","000","2018-04-21",0.79,0
"D01","HARV","900","000","2018-04-22",0.55,0
"D01","HARV","900","000","2018-04-23",0.29,0
"D01","HARV","900","000","2018-04-24",0.4,0
"D01","HARV","900","000","2018-04-25",7.97,0
"D01","HARV","900","000","2018-04-26",4.34,0
"D01","HARV","900","000","2018-04-27",4.95,0
"D01","HARV","900","000","2018-04-28",0.95,0
"D01","HARV","900","000","2018-04-29",5.02,0
"D01","HARV","900","000","2018-04-30",4.29,0
