"uid","namedLocation","plotID","collectDate","identifiedDate","sampleID","subsampleID","scientificName","acceptedTaxonID","taxonRank","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","identificationQualifier","identificationReferences","identificationProtocolVersion","scientificNameAuthorship","sexOrAge","individualCount","sampleCondition","archiveMedium","archiveFacilityID","deprecatedVialID","identifiedBy","laboratoryName","remarks"
"e3d2167c-4391-4643-a3ae-2914d367ae56","BLAN_005.tickPlot.tck","BLAN_005","2017-06-01T17:59Z","2018-01-30T17:00Z","BLAN_005.20170601","BLAN_005.20170601.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",1,"OK","90% ethanol","USNMENT01358412","BLAN_005.20170601.AMBAME.N","Lorenza Beati","Georgia Southern University",""
"29e139f2-5fef-4bea-b4b1-3bce2f4eea84","BLAN_005.tickPlot.tck","BLAN_005","2017-06-19T14:51Z","2018-09-15T17:00Z","BLAN_005.20170619","BLAN_005.20170619.HAELON.N","Haemaphysalis longicornis","HAELON","species","Ixodidae",NA,NA,NA,"Haemaphysalis",NA,"longicornis",NA,NA,"","GSU_tickIdentification_SOP_2016-11-01.pdf","","Nymph",2,"OK","90% ethanol","USNMENT01358414","BLAN_005.20170619.HAELEP.N","Lorenza Beati","Georgia Southern University","pretty"
"3be0115a-2b38-4e6a-9568-5e09221d5f4b","BLAN_005.tickPlot.tck","BLAN_005","2017-06-19T14:51Z","2018-01-30T17:00Z","BLAN_005.20170619","BLAN_005.20170619.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",NA,NA,NA,"Ixodes",NA,"scapularis",NA,NA,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",13,"OK","90% ethanol","USNMENT01358413","BLAN_005.20170619.IXOSCA.N","Lorenza Beati","Georgia Southern University",""
"a2e5ce3a-806a-4d24-a251-92f874469b33","BLAN_012.tickPlot.tck","BLAN_012","2017-06-20T19:53Z","2018-01-02T17:00Z","BLAN_012.20170620","BLAN_012.20170620.DERVAR.F","Dermacentor variabilis","DERVAR","species","Ixodidae",NA,NA,NA,"Dermacentor",NA,"variabilis",NA,NA,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Female",1,"OK","90% ethanol","USNMENT01358416","BLAN_012.20170620.DERVAR.F","Lorenza Beati","Georgia Southern University",""
"61af8a73-f33d-40a8-b4bf-833f4cb01752","BLAN_012.tickPlot.tck","BLAN_012","2017-06-20T19:53Z","2018-01-02T17:00Z","BLAN_012.20170620","BLAN_012.20170620.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",NA,NA,NA,"Ixodes",NA,"scapularis",NA,NA,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",2,"OK","90% ethanol","USNMENT01358417","BLAN_012.20170620.IXOSCA.N","Lorenza Beati","Georgia Southern University",""
"06966602-1877-465b-8815-9621c0db01f5","BLAN_015.tickPlot.tck","BLAN_015","2017-06-20T20:59Z","2018-01-02T17:00Z","BLAN_015.20170620","BLAN_015.20170620.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",NA,NA,NA,"Ixodes",NA,"scapularis",NA,NA,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",2,"OK","90% ethanol","USNMENT01358421","BLAN_015.20170620.IXOSCA.N","Lorenza Beati","Georgia Southern University",""
"61d5791b-d4ab-4eb1-830c-c5db6169ca34","BLAN_012.tickPlot.tck","BLAN_012","2017-07-10T15:49Z","2017-09-30T16:00Z","BLAN_012.20170710","BLAN_012.20170710.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",NA,NA,NA,"",NA,"sp.",NA,NA,"","GSU_tickIdentification_SOP_2016-11-01.pdf","","Larva",1,"OK","90% ethanol","USNMENT01358731","BLAN_012.20170710.L","Guy Hobbs","Georgia Southern University",NA
"44cfb053-0a3d-42fb-833c-53295f3ca355","BLAN_012.tickPlot.tck","BLAN_012","2017-07-10T15:49Z","2018-01-30T17:00Z","BLAN_012.20170710","BLAN_012.20170710.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",NA,NA,NA,"Ixodes",NA,"scapularis",NA,NA,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",2,"OK","90% ethanol","USNMENT01358732","BLAN_012.20170710.IXOSCA.N","Lorenza Beati","Georgia Southern University",NA
"23a090e6-f38f-447f-b05f-6673db640b8c","BLAN_015.tickPlot.tck","BLAN_015","2017-07-10T17:19Z","2017-09-30T16:00Z","BLAN_015.20170710","BLAN_015.20170710.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",NA,NA,NA,"",NA,"sp.",NA,NA,"","GSU_tickIdentification_SOP_2016-11-01.pdf","","Larva",1,"OK","90% ethanol","USNMENT01358730","BLAN_015.20170710.L","Guy Hobbs","Georgia Southern University",NA
"a53c9e8c-1e59-4a7a-8035-dd7845e5510f","BLAN_005.tickPlot.tck","BLAN_005","2017-07-10T18:11Z","2017-09-30T16:00Z","BLAN_005.20170710","BLAN_005.20170710.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",NA,NA,NA,"",NA,"sp.",NA,NA,"","GSU_tickIdentification_SOP_2016-11-01.pdf","","Larva",1,"OK","90% ethanol","USNMENT01358733","BLAN_005.20170710.L","Guy Hobbs","Georgia Southern University",NA
