"","month","siteID","wssTempTripleMean","wssTempTripleMinimum","wssTempTripleMaximum","wssPrecipTotal","wssWindSpeedMean","wssRHMean","wssRHMinimum","wssRHMaximum","wssShortRadMean","wssShortRadMinimum","wssShortRadMaximum"
"15","May","SCBI",19.965096,16.318592,24.42071,1.62693548387097,1.07965909090909,68.6877966101695,47.7545762711864,85.7083050847458,232.906779661017,-2.00661016949153,1141.51305084746
"16","Jun","HARV",17.4171581081081,13.2743256756757,22.2228243243243,3.71584269662921,0.656156583629893,65.4423076923077,41.104358974359,89.95,245.934558823529,-2.07411764705882,1125.58661764706
"17","Jun","OSBS",26.1286949152542,22.7560847457627,31.7021152542373,4.26666666666667,0.812177121771218,79.058431372549,49.5317647058824,96.8560784313726,244.131833333333,-2.06383333333333,1214.30233333333
"18","Jun","SCBI",21.2183474576271,17.5019711864407,25.1003322033898,2.47283333333333,0.896375,66.0689361702128,46.2134042553191,84.9991489361702,252.224814814815,-1.56648148148148,1136.175
"19","Jul","HARV",21.6949779411765,17.8766235294118,25.8485676470588,2.98168674698795,0.585903225806452,69.404358974359,45.9315384615385,92.0035897435897,258.975569620253,-2.12936708860759,1138.01291139241
"20","Jul","OSBS",26.21599,23.0499416666667,31.6209033333333,2.78704918032787,0.790774193548387,81.6685454545455,53.9961818181818,96.2190909090909,223.209032258065,-2.0508064516129,1229.75032258065
"21","Jul","SCBI",23.1279375,19.7321925,26.86595,2.38459016393443,0.8126,68.7712068965517,48.8222413793103,86.7975862068966,248.722173913043,-2.27630434782609,1189.53565217391
"22","Aug","HARV",19.7625888888889,16.3926583333333,23.7280263888889,3.44978260869565,0.564645161290323,70.9055813953488,48.663023255814,92.8509302325581,217.82256097561,-1.95292682926829,1056.63012195122
"23","Aug","OSBS",26.398295,23.3358766666667,31.9876133333333,3.76403225806452,0.815193548387097,81.5272413793103,53.123275862069,97.085,225.538870967742,-2.04935483870968,1171.87903225806
"24","Aug","SCBI",23.36515,20.1187533333333,26.64003,2.20733333333333,0.767340425531915,69.9750909090909,48.5267272727273,87.9367272727273,235.564576271186,-2.13728813559322,1100.44610169492
"25","Sep","HARV",15.9167916666667,12.5644069444444,19.9530055555556,3.49122222222222,0.62125,76.6670769230769,54.7496923076923,93.8189230769231,165.056805555556,-1.92097222222222,906.437638888889
"26","Sep","OSBS",26.5286711864407,23.0331915254237,31.8682966101695,2.80066666666667,0.9285,76.1841463414634,47.5080487804878,95.2329268292683,222.957833333333,-2.17583333333333,1099.24483333333
"27","Sep","SCBI",19.4028538461538,16.8882653846154,22.5096653846154,1.57166666666667,0.8544,76.7167857142857,57.8914285714286,90.8160714285714,166.568928571429,-2.10142857142857,877.563392857143
"28","Oct","HARV",10.55692375,7.34291125,14.4769525,4.18666666666667,0.802702702702703,79.3277941176471,58.9463235294118,93.9438235294118,102.894268292683,-1.67890243902439,651.871219512195
"29","Oct","OSBS",23.5290766666667,20.1125883333333,28.5014816666667,2.35322580645161,0.962483870967742,77.69,52.2647272727273,94.7590909090909,170.427096774194,-2.21467741935484,948.398064516129
"30","Oct","SCBI",14.6106431818182,11.7466886363636,18.2119931818182,1.7758064516129,1.25445692883895,71.5798113207547,51.1960377358491,88.6628301886793,136.812641509434,-2.1811320754717,756.640754716981
"31","Nov","HARV",2.70778846153846,-0.632909615384615,6.25073461538462,2.95438596491228,1.17033333333333,77.538125,59.4409375,90.8146875,70.4837037037037,-1.55074074074074,489.289444444444
"32","Nov","OSBS",17.71939,13.8427733333333,23.21383,3.67714285714286,0.916933333333333,80.246,55.3186666666667,95.681,122.346333333333,-2.009,764.927666666667
"33","Nov","SCBI",6.32424375,3.2970625,10.2947875,5.025,1.60533333333333,63.3435294117647,44.8952941176471,80.2670588235294,88.9075,-1.66583333333333,567.24
"34","Dec","HARV",-2.80495,-5.80677222222222,0.995987037037037,2.36887096774194,0.993783783783784,73.6072222222222,55.0938888888889,89.12,61.4016666666667,-1.49037037037037,426.992407407407
"35","Dec","OSBS",14.9993935483871,11.6335709677419,19.5915,7.424,0.963806451612903,79.8841935483871,58.1551612903226,93.5916129032258,104.119677419355,-2.06709677419355,669.341935483871
"36","Dec","SCBI",3.03779310344828,0.275331034482759,6.81156206896552,5.16548387096774,1.41348387096774,67.5912903225806,51.0087096774194,84.0812903225806,67.4183870967742,-1.91193548387097,439.531290322581
